午后のあくび: Vocabulary for 午后のあくび
Word;Kana;Translation;Level
ように;ように;"in order to (e.g. meet goal); so that; take care (so as)";Week 3
無い;ない;"nonexistent; not being (there)";Week 3
紙;かみ;paper;Week 3
真っ白い;まっしろい;pure white;Week 3
大;おお;"large; big; great; major; important; serious; heavy; loud";Week 3
都;みやこ;"capital (esp. Kyoto, Japan's former capital); seat of government";Week 3
デザート;デザート;dessert;Week 3
ちなみに;ちなみに;"by the way; in this connection; incidentally; in passing";Week 3
特に;とくに;"particularly; especially; in particular; expressly";Week 3
脱;だつ;"de- (indicating reversal, removal, etc.); post-";Week 3
金品;きんぴん;money and goods;Week 3
名前;なまえ;name;Week 3
かざす;かざす;"to hold up over one's head; to hold aloft";Week 3
うっすら;うっすら;"slightly; lightly; thinly; faintly; dimly";Week 3
浮かび上がる;うかびあがる;to rise to the surface;Week 3
怪盗;かいとう;"mysterious thief; phantom thief";Week 3
挑戦状;ちょうせんじょう;(written) challenge;Week 3
かも;かも;"may; might; perhaps; may be; possibly";Week 3
たいへん;たいへん;"very; greatly; terribly; awfully";Week 3
バーゲン;バーゲン;bargain;Week 3
チラシ;チラシ;scattering;Week 3
つまんない;つまんない;"dull; boring";Week 3
ツバメ;ツバメ;"swallow (bird of the Hirundinidae family); martin";Week 3
低い;ひくい;low (rank, degree, value, content, quality, etc.);Week 3
飛ぶ;とぶ;"to fly; to soar";Week 3
雨;あめ;rain;Week 3
けれど;けれど;"but; however; although";Week 3
低空飛行;ていくうひこう;low-altitude flying;Week 3
すぎる;すぎる;"to pass through; to pass by; to go beyond";Week 3
つらい;つらい;"painful; bitter; heart-breaking; difficult (emotionally)";Week 3
もう;もう;"now; soon; shortly; before long; presently";Week 3
今にも;いまにも;"at any moment (now); at any minute; on the verge of (doing); just about to";Week 3
落っこちる;おっこちる;"to fall down; to drop";Week 3
大丈夫;だいじょうぶ;"safe; secure; sound; problem-free; without fear; all right; alright; OK; okay";Week 3
キュー;キュー;"cue (billiards, pool); cue stick";Week 3
わたし;わたし;"I; me";Week 3
従う;したがう;"to obey (an order, law, etc.); to abide by (a rule, custom, etc.); to follow; to observe; to conform to; to yield to";Week 3
穀物;こくもつ;"grain; cereal; corn";Week 3
のです;のです;"the expectation is that ...; the reason is that ...; the fact is that ...; the explanation is that ...; it is that ...";Week 3
キル;キル;kill;Week 3
燕尾服;えんびふく;tailcoat;Week 3
あちこち;あちこち;"here and there; various places; all around; all over; everywhere; throughout";Week 3
破れる;やぶれる;"to get torn; to tear; to rip; to break; to wear out";Week 3
縫う;ぬう;"to sew; to stitch";Week 3
あげる;あげる;"to raise; to elevate";Week 3
やや;やや;"a little; partially; somewhat; slightly; semi-; -ish; on the ... side; a short time; a while";Week 3
氏;うじ;"family name; lineage; birth";Week 3
スマート;スマート;"smart (clothing, etc.); stylish";Week 3
察す;さっす;"to guess; to sense; to presume; to judge";Week 3
見事;みごと;"splendid; magnificent; excellent; fine; superb; beautiful; admirable";Week 3
飛翔;ひしょう;"flight; flying; soaring";Week 3
あんな風に;あんなふうに;"in that way; like that; that way";Week 3
身;み;body;Week 3
つつ;つつ;while;Week 3
心;しん;"heart; mind; spirit; vitality; inner strength";Week 3
決める;きめる;"to decide; to choose; to determine; to make up one's mind; to resolve; to set one's heart on; to settle; to arrange; to set; to appoint; to fix";Week 3
よい;よい;"good; excellent; fine; nice; pleasant; agreeable";Week 3
上手い;うまい;"skillful; skilful; clever; expert; wise; successful";Week 3
ぜんぜん;ぜんぜん;"(not) at all; (not) in the slightest";Week 3
捕まえる;つかまえる;"to catch; to capture; to arrest; to seize; to restrain";Week 3
